title,PublishedAt,ID,URL,views,likes,dislikes,comments,Last_updated_Date
노트북용 지포스 GTX 10 시리즈,2016-08-17 10:17,lSkIWt-BfCg,https://www.youtube.com/watch?v=lSkIWt-BfCg,879,6,,3,2022-02-14
새로운 엔비디아 타이탄 X 공개,2016-07-22 14:31,ryw9Scm9kSw,https://www.youtube.com/watch?v=ryw9Scm9kSw,1806,8,,4,2022-02-14
왜 딥 러닝(Deep Learning)이 화두인가?,2016-07-21 11:07,C2FS9WVm7j4,https://www.youtube.com/watch?v=C2FS9WVm7j4,13466,73,,1,2022-02-14
엔비디아 VR 펀하우스 체험 영상,2016-07-20 13:58,TsG0wgKuLiA,https://www.youtube.com/watch?v=TsG0wgKuLiA,472,2,,0,2022-02-14
제이미 헤인맨과 함께 하는 VR 펀하우스 체험,2016-07-20 13:58,wCrWdT10c3M,https://www.youtube.com/watch?v=wCrWdT10c3M,94,0,,0,2022-02-14
지포스 GTX 1060 정식 출시 영상,2016-07-20 10:02,btNP6ZdsKUA,https://www.youtube.com/watch?v=btNP6ZdsKUA,4139,18,,17,2022-02-14
"차세대 VR 경험의 끝판왕, 엔비디아 VR 펀하우스 정식 출시",2016-07-15 10:18,-jkDkmNz8k8,https://www.youtube.com/watch?v=-jkDkmNz8k8,390,1,,0,2022-02-14
GPU 기반 가속 데이터 센터,2016-06-27 17:35,_lK2SbJ6ufI,https://www.youtube.com/watch?v=_lK2SbJ6ufI,407,5,,1,2022-02-14
아담 세비지의 VR 펀하우스 체험기,2016-06-17 10:58,axnMQJQI6K8,https://www.youtube.com/watch?v=axnMQJQI6K8,762,2,,0,2022-02-14
[클템 & 강퀴 해설] 엔비디아 인증 PC 방 LoL 토너먼트 결승전 중계,2016-05-29 22:18,WaVF4Zqm4cE,https://www.youtube.com/watch?v=WaVF4Zqm4cE,2830,10,,6,2022-02-14
엔비디아 자율주행 자동차,2016-05-24 16:34,Dlc4ylsAuSs,https://www.youtube.com/watch?v=Dlc4ylsAuSs,7472,25,,2,2022-02-14
GTX 1080 SLI 시스템 트랜스포머,2016-05-13 13:46,pQgUnAUdRj8,https://www.youtube.com/watch?v=pQgUnAUdRj8,1920,3,,4,2022-02-14
"엔비디아 VR 데모, ‘VR 펀하우스’",2016-05-11 10:08,hfScIrewqoE,https://www.youtube.com/watch?v=hfScIrewqoE,402,1,,0,2022-02-14
파스칼 아키텍처 기반의 지포스(GeForce) GTX 1080 출시 영상,2016-05-09 12:09,pd0A9pudsf8,https://www.youtube.com/watch?v=pd0A9pudsf8,1571,10,,1,2022-02-14
벌칸 API 적용된 둠(Doom) 데모 전격 공개! (지포스 GTX 1080 구동),2016-05-08 15:15,d339b4ypkWQ,https://www.youtube.com/watch?v=d339b4ypkWQ,34509,15,,10,2022-02-14
HTC 바이브로 즐길 수 있는 VR 게임 Best 7 소개 영상,2016-04-28 17:38,XgmnY60j82I,https://www.youtube.com/watch?v=XgmnY60j82I,9961,5,,0,2022-02-14
오큘러스 리프트로 올해 출시되는 VR게임 중 최고의 기대작 소개 영상,2016-04-27 19:07,0XmoWKJIyiw,https://www.youtube.com/watch?v=0XmoWKJIyiw,39952,30,,1,2022-02-14
엔비디아 GTC 2016 오프닝 영상,2016-04-18 17:35,mAG0bCDSZRw,https://www.youtube.com/watch?v=mAG0bCDSZRw,492,6,,0,2022-02-14
GTC 2016 하이라이트 영상,2016-04-11 10:53,ssQXahmZCJ4,https://www.youtube.com/watch?v=ssQXahmZCJ4,134,1,,0,2022-02-14
엔비디아 드라이브  PX2 기반 자율주행 레이싱카,2016-04-08 18:40,U89sFHy0HKQ,https://www.youtube.com/watch?v=U89sFHy0HKQ,611,2,,0,2022-02-14
세계 최초 딥 러닝 전용 슈퍼컴퓨터 엔비디아 DGX-1,2016-04-06 14:06,Be83rhIgzA0,https://www.youtube.com/watch?v=Be83rhIgzA0,4611,9,,2,2022-02-14
